ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age
174430,Gloomhaven,2017,1,4,120,14
161936,Pandemic Legacy: Season 1,2015,2,4,60,13
224517,Brass: Birmingham,2018,2,4,120,14
167791,Terraforming Mars,2016,1,5,120,12
233078,Twilight Imperium: Fourth Edition,2017,3,6,480,14
291457,Gloomhaven: Jaws of the Lion,2020,1,4,120,14
182028,Through the Ages: A New Story of Civilization,2015,2,4,120,14
220308,Gaia Project,2017,1,4,150,12
187645,Star Wars: Rebellion,2016,2,4,240,14
12333,Twilight Struggle,2005,2,2,180,13
193738,Great Western Trail,2016,2,4,150,12
115746,War of the Ring: Second Edition,2012,2,4,180,13
162886,Spirit Island,2017,1,4,120,13
169786,Scythe,2016,1,5,115,14
84876,The Castles of Burgundy,2011,2,4,90,12
120677,Terra Mystica,2012,2,5,150,12
173346,7 Wonders Duel,2015,2,2,30,10
124361,Concordia,2013,2,5,100,13
28720,Brass: Lancashire,2007,2,4,120,14
266192,Wingspan,2019,1,5,70,10
177736,A Feast for Odin,2016,1,4,120,12
205637,Arkham Horror: The Card Game,2016,1,2,120,14
183394,Viticulture Essential Edition,2015,1,6,90,13
167355,Nemesis,2018,1,5,180,12
164928,Orléans,2014,2,4,90,12
96848,Mage Knight Board Game,2011,1,4,240,14
237182,Root,2018,2,4,90,10
3076,Puerto Rico,2002,3,5,150,12
175914,Food Chain Magnate,2015,2,5,240,14
102794,Caverna: The Cave Farmers,2013,1,7,210,12
31260,Agricola,2007,1,5,150,12
170216,Blood Rage,2015,2,4,90,14
205059,Mansions of Madness: Second Edition,2016,1,5,180,14
180263,The 7th Continent,2017,1,4,1000,14
221107,Pandemic Legacy: Season 2,2017,2,4,60,14
199792,Everdell,2018,1,4,80,13
276025,Maracaibo,2019,1,4,120,12
55690,Kingdom Death: Monster,2015,1,4,180,17
2651,Power Grid,2004,2,6,120,12
126163,Tzolk'in: The Mayan Calendar,2012,2,4,90,13
284083,The Crew: The Quest for Planet Nine,2019,2,5,20,10
209010,Mechs vs. Minions,2016,2,4,120,14
247763,Underwater Cities,2018,1,4,150,12
164153,Star Wars: Imperial Assault,2014,1,5,120,14
216132,Clans of Caledonia,2017,1,4,120,12
185343,Anachrony,2017,1,4,120,15
35677,Le Havre,2008,1,5,150,12
192135,Too Many Bones,2017,1,4,120,12
25613,Through the Ages: A Story of Civilization,2006,2,4,120,12
230802,Azul,2017,2,4,45,8
285774,Marvel Champions: The Card Game,2019,1,4,90,14
72125,Eclipse,2011,2,6,180,14
266507,Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13
124742,Android: Netrunner,2012,2,2,45,14
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14
171623,The Voyages of Marco Polo,2015,2,4,100,12
125153,The Gallerist,2015,1,4,150,13
251247,Barrage,2019,1,4,120,14
28143,Race for the Galaxy,2007,2,4,60,12
159675,Fields of Arle,2014,1,2,120,13
68448,7 Wonders,2010,2,7,30,10
229853,Teotihuacan: City of Gods,2018,1,4,120,14
201808,Clank!: A Deck-Building Adventure,2016,2,4,60,12
244521,The Quacks of Quedlinburg,2018,2,4,45,10
521,Crokinole,1876,2,4,30,8
157354,Five Tribes,2014,2,4,80,13
62219,Dominant Species,2010,2,6,240,14
184267,On Mars,2020,1,4,150,14
161533,Lisboa,2017,1,4,120,12
191189,Aeon's End,2016,1,4,60,14
110327,Lords of Waterdeep,2012,2,5,120,12
266810,Paladins of the West Kingdom,2019,1,4,120,12
122515,Keyflower,2012,2,6,120,12
200680,Agricola (Revised Edition),2016,1,4,120,12
256960,Pax Pamir: Second Edition,2019,1,5,120,13
264220,Tainted Grail: The Fall of Avalon,2019,1,4,120,14
18602,Caylus,2005,2,5,150,12
236457,Architects of the West Kingdom,2018,1,5,80,12
93,El Grande,1995,2,5,120,12
12493,Twilight Imperium: Third Edition,2005,3,6,240,14
37111,Battlestar Galactica: The Board Game,2008,3,6,180,14
146021,Eldritch Horror,2013,1,8,240,14
73439,Troyes,2010,2,4,90,12
205896,Rising Sun,2018,3,5,120,14
40834,Dominion: Intrigue,2009,2,4,30,13
172386,Mombasa,2015,2,4,150,12
182874,Grand Austria Hotel,2015,2,4,120,12
269385,The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,120,14
163412,Patchwork,2014,2,2,30,8
170042,Raiders of the North Sea,2015,2,4,80,12
144733,Russian Railroads,2013,2,4,120,12
42,Tigris & Euphrates,1997,2,4,90,12
178900,Codenames,2015,2,8,15,14
132531,Roll for the Galaxy,2014,2,5,45,13
102680,Trajan,2011,2,4,120,12
203993,Lorenzo il Magnifico,2016,2,4,120,12
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,1,8,120,13
36218,Dominion,2008,2,4,30,13
30549,Pandemic,2008,2,4,45,8
198928,Pandemic: Iberia,2016,2,5,45,8
172287,Champions of Midgard,2015,2,4,90,10
225694,Decrypto,2018,3,8,45,12
127023,Kemet,2012,2,5,120,13
196340,Yokohama,2016,2,4,90,14
233371,Clank! In! Space!: A Deck-Building Adventure,2017,2,4,90,12
175155,Forbidden Stars,2015,2,4,180,14
155821,Inis,2016,2,4,90,14
281259,The Isle of Cats,2019,1,4,90,8
103885,Star Wars: X-Wing Miniatures Game,2012,2,2,45,14
161970,Alchemists,2014,2,4,120,13
34635,Stone Age,2008,2,4,90,10
146652,Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,17
175640,Vinhos Deluxe Edition,2016,1,4,135,14
233398,Endeavor: Age of Sail,2018,2,5,90,13
147020,Star Realms,2014,2,2,20,12
104162,Descent: Journeys in the Dark (Second Edition),2012,1,5,120,14
263918,Cartographers,2019,1,100,45,10
262712,Res Arcana,2019,2,4,60,12
4098,Age of Steam,2002,1,6,120,13
148949,Istanbul,2014,2,5,60,10
14996,Ticket to Ride: Europe,2005,2,5,60,8
150376,Dead of Winter: A Crossroads Game,2014,2,5,120,13
118048,Targi,2012,2,2,60,12
9609,War of the Ring,2004,2,4,120,12
43111,Chaos in the Old World,2009,3,4,120,13
233867,Welcome To...,2018,1,100,25,10
244522,That's Pretty Clever!,2018,1,4,30,8
163068,Trickerion: Legends of Illusion,2015,2,4,180,14
77423,The Lord of the Rings: The Card Game,2011,1,2,60,13
17133,Railways of the World,2005,2,6,120,10
128882,The Resistance: Avalon,2012,5,10,30,13
218417,Aeon's End: War Eternal,2017,1,4,60,14
221194,Dinosaur Island,2017,1,4,120,8
266524,PARKS,2019,1,5,60,10
103343,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,14
155426,Castles of Mad King Ludwig,2014,1,4,90,13
246900,Eclipse: Second Dawn for the Galaxy,2020,2,6,200,14
54043,Jaipur,2009,2,2,30,12
43015,Hansa Teutonica,2009,2,5,90,12
10630,Memoir '44,2004,2,8,60,8
70149,Ora et Labora,2011,1,4,180,13
239188,Chronicles of Crime,2018,1,4,90,14
14105,Commands & Colors: Ancients,2006,2,2,60,12
39463,Cosmic Encounter,2008,3,5,120,12
146508,T.I.M.E Stories,2015,2,4,90,12
199561,Sagrada,2017,1,4,45,14
82222,Xia: Legends of a Drift System,2014,3,5,180,12
123260,Suburbia,2012,1,4,90,8
188920,This War of Mine: The Board Game,2017,1,6,120,18
287954,Azul: Summer Pavilion,2019,2,4,45,8
126042,Nations,2013,1,5,200,14
223321,Detective: A Modern Crime Board Game,2018,1,5,180,16
195421,Near and Far,2017,2,4,120,13
31627,Ticket to Ride: Nordic Countries,2007,2,3,60,8
104006,Village,2011,2,4,90,12
91,Paths of Glory,1999,2,2,480,14
21050,Combat Commander: Europe,2006,2,2,180,12
463,Magic: The Gathering,1993,2,2,20,13
171131,Captain Sonar,2016,2,8,60,14
220877,Rajas of the Ganges,2017,2,4,75,12
224037,Codenames: Duet,2017,2,99,30,11
25021,Sekigahara: The Unification of Japan,2011,2,2,180,14
254640,Just One,2018,3,7,20,8
217372,The Quest for El Dorado,2017,2,4,60,10
182631,Star Realms: Colony Wars,2015,2,2,20,12
148228,Splendor,2014,2,4,30,10
194655,Santorini,2016,2,4,20,8
146886,La Granja,2014,1,4,120,12
271324,It's a Wonderful World,2019,1,5,60,14
245638,Coimbra,2018,2,4,90,14
274364,Watergate,2019,2,2,60,12
215,Tichu,1991,4,4,60,10
188,Go,-2200,2,2,180,8
9209,Ticket to Ride,2004,2,5,60,8
316554,Dune: Imperium,2020,1,4,120,14
129437,Legendary: A Marvel Deck Building Game,2012,1,5,60,14
12,Ra,1999,2,5,60,12
822,Carcassonne,2000,2,5,45,7
176189,Zombicide: Black Plague,2015,1,6,180,14
109276,Kanban: Driver's Edition,2014,2,4,120,12
155068,Arcadia Quest,2014,2,4,60,13
9216,Goa,2004,2,4,90,12
